book,pairs,file
体操类：身体训练1400例,641,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/体操类：身体训练1400例/pairs_体操类：身体训练1400例_2026-05-07.json
身体训练1400例,638,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/身体训练1400例/pairs_身体训练1400例_2026-05-07.json
拉伸  最好的运动+最方便的健身,549,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/拉伸  最好的运动+最方便的健身/pairs_拉伸  最好的运动+最方便的健身_2026-05-07.json
四周练出一身肌肉 章晋唯 全彩版,382,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/四周练出一身肌肉 章晋唯 全彩版/pairs_四周练出一身肌肉 章晋唯 全彩版_2026-05-07.json
[四周练出一身肌肉].章晋唯.全彩版,374,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[四周练出一身肌肉].章晋唯.全彩版/pairs_[四周练出一身肌肉].章晋唯.全彩版_2026-05-07.json
HP入门书单11-王雄-身体功能训练动作手册,316,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/HP入门书单11-王雄-身体功能训练动作手册/pairs_HP入门书单11-王雄-身体功能训练动作手册_2026-05-06.json
（台版）功能性训练手册,296,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/（台版）功能性训练手册/pairs_（台版）功能性训练手册_2026-05-07.json
《世界特种部队高级格斗术与功力训练》,294,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《世界特种部队高级格斗术与功力训练》/pairs_《世界特种部队高级格斗术与功力训练》_2026-05-07.json
[这样运动最健康].徐铁.扫描版,243,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/[这样运动最健康].徐铁.扫描版/pairs_[这样运动最健康].徐铁.扫描版_2026-05-07.json
《瑜伽之光》,238,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《瑜伽之光》/pairs_《瑜伽之光》_2026-05-07.json
《瑜伽练习：从初学到精进》,237,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《瑜伽练习：从初学到精进》/pairs_《瑜伽练习：从初学到精进》_2026-05-07.json
瑜伽之光（印）艾扬格,236,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/瑜伽之光（印）艾扬格/pairs_瑜伽之光（印）艾扬格_2026-05-07.json
拉伸：最好的运动,216,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/拉伸：最好的运动/pairs_拉伸：最好的运动_2026-05-07.json
拉伸,206,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/拉伸/pairs_拉伸_2026-05-07.json
《运动伤害图解圣经：预防•诊断•治疗•复健》,203,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《运动伤害图解圣经：预防•诊断•治疗•复健》/pairs_《运动伤害图解圣经：预防•诊断•治疗•复健》_2026-05-07.json
25,200,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/25/pairs_25_2026-05-06.json
姿势异常与肌肉骨骼功能失调,198,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/姿势异常与肌肉骨骼功能失调/pairs_姿势异常与肌肉骨骼功能失调_2026-05-07.json
肌肉锻炼运动英文百科全书 2012,198,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/肌肉锻炼运动英文百科全书 2012/pairs_肌肉锻炼运动英文百科全书 2012_2026-05-07.json
HP入门书单10 Rippetoe 2011-Starting Strength--basic barbell training,187,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/HP入门书单10 Rippetoe 2011-Starting Strength--basic barbell training/pairs_HP入门书单10 Rippetoe 2011-Starting Strength_2026-05-06.json
力量训练基础 -Starting strength--basic b...,183,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/力量训练基础 -Starting strength--basic b.../pairs_力量训练基础 -Starting strength--basic b..._2026-05-07.json
体操 (少年儿童业余训练《体操》教材编写组编),181,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/体操 (少年儿童业余训练《体操》教材编写组编)/pairs_体操 (少年儿童业余训练《体操》教材编写组编)_2026-05-07.json
2012年新书《Physical Rehabilitation of the Injured Athlete》,176,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/2012年新书《Physical Rehabilitation of the Injured Athlete》/pairs_2012年新书《Physical Rehabilitation of the I_2026-05-06.json
《肌肉完全训练计划》,172,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/《肌肉完全训练计划》/pairs_《肌肉完全训练计划》_2026-05-07.json
力量训练基础：用5种杠铃动作极速发展身体实力,171,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/力量训练基础：用5种杠铃动作极速发展身体实力/pairs_力量训练基础：用5种杠铃动作极速发展身体实力_2026-05-07.json
瑜伽初级教程,170,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/瑜伽初级教程/pairs_瑜伽初级教程_2026-05-07.json
力量训练基础Starting Strength--,169,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/力量训练基础Starting Strength--/pairs_力量训练基础Starting Strength--_2026-05-07.json
Athletic Movement Skills Training for Sports Performance (好好好),165,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/Athletic Movement Skills Training for Sports Performance (好好好)/pairs_Athletic Movement Skills Training for Sp_2026-05-06.json
城市就是健身房：跑酷基本技巧与体能训练,160,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/城市就是健身房：跑酷基本技巧与体能训练/pairs_城市就是健身房：跑酷基本技巧与体能训练_2026-05-07.json
跑酷_城市就是健身房,160,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/跑酷_城市就是健身房/pairs_跑酷_城市就是健身房_2026-05-07.json
HP入门书单1 Haff et al. 2017--NSCA Essentials of Strength Training and Conditioning,157,/root/paddlejob/workspace/env_run/penghaotian/datas/book_md/HP入门书单1 Haff et al. 2017--NSCA Essentials of Strength Training and Conditioning/pairs_HP入门书单1 Haff et al. 2017--NSCA Essential_2026-05-06.json
